features,dataset,query,ref,corr,fa,miss,p_fa,p_miss,mtwv
20210225-Large-0FT_transformer-L11,eng-mav,limited,1,1,149,0,0.031967388972323534,0,0.8886182837992985
20210225-Large-0FT_transformer-L11,eng-mav,literature,2,2,20,0,0.004291845493562232,0,0.9850462257910687
20210225-Large-0FT_transformer-L11,eng-mav,machine,2,2,27,0,0.0057939914163090125,0,0.9798124048179426
20210225-Large-0FT_transformer-L11,eng-mav,making,4,4,31,0,0.0066552168312580505,0,0.9768116979151757
20210225-Large-0FT_transformer-L11,eng-mav,medical,18,18,10,0,0.002153316106804479,0,0.992497352733245
20210225-Large-0FT_transformer-L11,eng-mav,meeting,1,1,33,0,0.007080025745548166,0,0.9753315662105829
20210225-Large-0FT_transformer-L11,eng-mav,multilingual,6,6,0,0,0,0,1
20210225-Large-0FT_transformer-L11,eng-mav,number,10,10,81,0,0.017411865864144453,0,0.9393330652095526
20210225-Large-0FT_transformer-L11,eng-mav,paper,11,11,76,0,0.0163405719200172,0,0.9430656990557393
20210225-Large-0FT_transformer-L11,eng-mav,people,43,43,189,0,0.0409179476077073,0,0.8574324843388808
20210225-Large-0FT_transformer-L11,eng-mav,performance,14,12,19,2,0.0040860215053763445,0.1428571428571429,0.8429062209228702
20210225-Large-0FT_transformer-L11,eng-mav,perhaps,28,28,117,0,0.025248165731549418,0,0.9120295988973506
20210225-Large-0FT_transformer-L11,eng-mav,powerful,1,1,11,0,0.0023600085818493884,0,0.9917771887368609
20210225-Large-0FT_transformer-L11,eng-mav,problem,14,13,54,1,0.011615401161540116,0.0714285714285714,0.8881007064598403
20210225-Large-0FT_transformer-L11,eng-mav,professor,1,1,62,0,0.013301866552242008,0,0.9536532456077618
20210225-Large-0FT_transformer-L11,eng-mav,program,4,4,24,0,0.005152425933877201,0,0.982047766127878
20210225-Large-0FT_transformer-L11,eng-mav,providing,4,4,41,0,0.008802060970373551,0,0.9693316004684583
20210225-Large-0FT_transformer-L11,eng-mav,recognition,5,4,4,1,8.587376556462001e-4,0.19999999999999996,0.797007961021313
20210225-Large-0FT_transformer-L11,eng-mav,relationship,3,3,50,0,0.010731916720326251,0,0.9626075403446984
20210225-Large-0FT_transformer-L11,eng-mav,relevance,7,7,23,0,0.004940923737916219,0,0.9827846882952389
20210225-Large-0FT_transformer-L11,eng-mav,relevant,9,9,57,0,0.012250161186331399,0,0.9573176283540045
20210225-Large-0FT_transformer-L11,eng-mav,remember,2,1,4,1,8.581849388543231e-4,0.5,0.49700988681340397
20210225-Large-0FT_transformer-L11,eng-mav,representation,2,2,65,0,0.013948497854077254,0,0.9514002338209732
20210225-Large-0FT_transformer-L11,eng-mav,research,24,1,22,23,0.004720017163698777,0.9583333333333334,0.025221044140388615
20210225-Large-0FT_transformer-L11,eng-mav,retrieval,110,52,4,58,8.676789587852494e-4,0.5272727272727273,0.4697040801973976
20210225-Large-0FT_transformer-L11,eng-mav,scheme,1,1,9,0,0.001930916112422227,0,0.993272245330159
20210225-Large-0FT_transformer-L11,eng-mav,searching,6,6,52,0,0.011168384879725086,0,0.9610867851556245
20210225-Large-0FT_transformer-L11,eng-mav,semantic,11,11,43,0,0.00924532358632552,0,0.9677871718341683
20210225-Large-0FT_transformer-L11,eng-mav,similarity,2,2,1,0,2.1459227467811158e-4,0,0.9992523112895534
20210225-Large-0FT_transformer-L11,eng-mav,somebody,10,10,33,0,0.007093723129836629,0,0.9752838413816696
20210225-Large-0FT_transformer-L11,eng-mav,something,24,24,81,0,0.017464424320827943,0,0.9391499394900471
20210225-Large-0FT_transformer-L11,eng-mav,specific,15,15,50,0,0.010759629868732516,0,0.962510981378513
20210225-Large-0FT_transformer-L11,eng-mav,stage,1,1,98,0,0.021025531001930917,0,0.9267422269283977
20210225-Large-0FT_transformer-L11,eng-mav,standard,7,7,22,0,0.00472610096670247,0,0.9835331801084893
20210225-Large-0FT_transformer-L11,eng-mav,student,2,2,44,0,0.00944206008583691,0,0.9671016967403511
20210225-Large-0FT_transformer-L11,eng-mav,system,101,96,36,5,0.00788436268068331,0.04950495049504955,0.9230241213261252
20210225-Large-0FT_transformer-L11,eng-mav,task,63,61,20,2,0.0043468811128015645,0.031746031746031744,0.9531084373229489
20210225-Large-0FT_transformer-L11,eng-mav,technology,11,10,2,1,4.299226139294927e-4,0.09090909090909094,0.9075929600837376
20210225-Large-0FT_transformer-L11,eng-mav,things,24,23,56,1,0.01207156714809226,0.04166666666666663,0.9162732242843711
20210225-Large-0FT_transformer-L11,eng-mav,together,14,14,2,0,4.302925989672978e-4,0,0.9985007618800856
20210225-Large-0FT_transformer-L11,eng-mav,topical,1,1,74,0,0.015876421368804978,0,0.9446829060479738
20210225-Large-0FT_transformer-L11,eng-mav,transcribe,1,1,5,0,0.001072731173567904,0,0.9962623585167549
20210225-Large-0FT_transformer-L11,eng-mav,translate,2,2,108,0,0.02317596566523605,0,0.9192496192717707
20210225-Large-0FT_transformer-L11,eng-mav,typically,35,34,15,1,0.00324114088159032,0.02857142857142858,0.9601356931095967
20210225-Large-0FT_transformer-L11,eng-mav,understand,8,8,19,0,0.0040825096691018475,0,0.985775599823176
20210225-Large-0FT_transformer-L11,eng-mav,university,6,0,3,6,6.435006435006435e-4,1,-0.002242103855007116
20210225-Large-0FT_transformer-L11,eng-mav,various,28,26,48,2,0.010353753235547885,0.0714285714285714,0.8924965772442741
20210225-Large-0FT_transformer-L11,eng-mav,well,83,0,1,83,2.145002145002145e-4,1,-7.473679516689646e-4
20210225-Large-0FT_transformer-L11,eng-mav,whatever,3,3,3,0,6.43915003219575e-4,0,0.9977564524206819
20210225-Large-0FT_transformer-L11,eng-mav,whether,9,9,170,0,0.03653556845046207,0,0.8727016985996625
20210225-Large-0FT_transformer-L11,eng-mav,write,1,1,129,0,0.02767646427805192,0,0.9035688497322786
bnf,eng-mav,access,19,19,456,0,0.09821236269653241,0,0.6578055993645191
bnf,eng-mav,addressing,1,1,503,0,0.10791675606093112,0,0.6239932667855514
bnf,eng-mav,against,1,1,525,0,0.11263677322462991,0,0.6075476442592733
bnf,eng-mav,amount,2,2,524,0,0.11244635193133047,0,0.6082111157259987
bnf,eng-mav,analysis,5,5,480,0,0.10307064633884475,0,0.6408782247097098
bnf,eng-mav,annotation,7,7,318,0,0.06831364124597207,0,0.7619796033863461
bnf,eng-mav,answering,1,1,523,0,0.11220768075520275,0,0.6090427008525714
bnf,eng-mav,application,11,11,224,0,0.04816168565899807,0,0.8321936393221792
bnf,eng-mav,audience,1,1,500,0,0.10727311735679039,0,0.6262358516754984
bnf,eng-mav,automatically,6,6,215,0,0.046176975945017185,0,0.8391088232396015
bnf,eng-mav,basically,32,32,474,0,0.10237580993520519,0,0.6432991941289858
bnf,eng-mav,benefit,2,2,491,0,0.10536480686695279,0,0.6328848431707355
bnf,eng-mav,between,13,13,511,0,0.1099161109916111,0,0.6170270555736733
bnf,eng-mav,beyond,1,1,484,0,0.1038403776013731,0,0.6381963044218825
bnf,eng-mav,capturing,1,1,504,0,0.10813130229564472,0,0.6232457384889024
bnf,eng-mav,challenge,10,10,514,0,0.11049011177987962,0,0.6150271051569141
bnf,eng-mav,children,1,1,513,0,0.11006221840806694,0,0.6165179838190613
bnf,eng-mav,collected,1,1,513,0,0.11006221840806694,0,0.6165179838190613
bnf,eng-mav,collection,35,35,490,0,0.1059001512859304,0,0.6310195804119967
bnf,eng-mav,combine,5,5,350,0,0.0751556796220743,0,0.7381403721841633
bnf,eng-mav,conclude,1,1,178,0,0.038189229779017377,0,0.8669399631964775
bnf,eng-mav,confidence,2,2,460,0,0.09871244635193133,0,0.6560631931945791
bnf,eng-mav,contrast,1,1,456,0,0.09783308302939284,0,0.6591270967280546
bnf,eng-mav,deep,1,1,525,0,0.11263677322462991,0,0.6075476442592733
bnf,eng-mav,description,10,10,375,0,0.08061049011177988,0,0.7191345611553361
bnf,eng-mav,designed,1,1,525,0,0.11263677322462991,0,0.6075476442592733
bnf,eng-mav,difference,3,3,503,0,0.10796308220648208,0,0.6238318558676659
bnf,eng-mav,document,15,15,484,0,0.10415321712933075,0,0.6371062997440057
bnf,eng-mav,domain,17,17,506,0,0.10893433799784714,0,0.6204477778935226
bnf,eng-mav,england,2,2,511,0,0.10965665236051503,0,0.617931068961804
bnf,eng-mav,evaluation,45,45,376,0,0.08143816330950834,0,0.7162507578739317
bnf,eng-mav,experiment,4,4,416,0,0.0893087161872048,0,0.6888279462165527
bnf,eng-mav,explain,1,1,254,0,0.05449474361724952,0,0.8101278126511532
bnf,eng-mav,expression,1,1,446,0,0.09568762068225703,0,0.6666023796945446
bnf,eng-mav,extent,1,1,520,0,0.111564042051062,0,0.6112852857425184
bnf,eng-mav,fifty,1,1,525,0,0.11263677322462991,0,0.6075476442592733
bnf,eng-mav,filtering,1,1,519,0,0.11134949581634843,0,0.6120328140391673
bnf,eng-mav,for_example,54,54,451,0,0.0978732638888889,0,0.6589870973964556
bnf,eng-mav,general,13,13,510,0,0.1097010109701011,0,0.6177765133905546
bnf,eng-mav,global,4,4,494,0,0.1060541004723057,0,0.6304831861321564
bnf,eng-mav,google,4,4,496,0,0.10648346930012881,0,0.6289871666428128
bnf,eng-mav,IBM,3,3,445,0,0.09551405881090362,0,0.6672071090678158
bnf,eng-mav,important,16,16,485,0,0.1043908738699957,0,0.6362782491432875
bnf,eng-mav,individual,5,5,425,0,0.09126046811251878,0,0.6820275947950556
bnf,eng-mav,information,40,40,399,0,0.08632626568585028,0,0.6992194879096234
bnf,eng-mav,interesting,26,26,329,0,0.07096635030198446,0,0.7527369565284621
bnf,eng-mav,involve,14,14,511,0,0.10993975903614457,0,0.6169446603618776
bnf,eng-mav,language,11,11,461,0,0.09911846914642013,0,0.6546485166407348
bnf,eng-mav,lecture,3,3,520,0,0.111611933891393,0,0.6111184195848633
bnf,eng-mav,limited,1,1,490,0,0.10512765500965458,0,0.6337111346419885
bnf,eng-mav,literature,2,2,505,0,0.10836909871244635,0,0.6224172012244835
bnf,eng-mav,machine,2,2,491,0,0.10536480686695279,0,0.6328848431707355
bnf,eng-mav,making,4,4,517,0,0.11099184199227136,0,0.6132789620047061
bnf,eng-mav,medical,18,18,489,0,0.10529715762273902,0,0.6331205486556825
bnf,eng-mav,meeting,1,1,482,0,0.10341128513194593,0,0.6396913610151804
bnf,eng-mav,multilingual,6,6,338,0,0.07259450171821306,0,0.7470641035115595
bnf,eng-mav,number,10,10,493,0,0.10597592433361995,0,0.6307555697322152
bnf,eng-mav,paper,11,11,500,0,0.1075037626316921,0,0.6254322306298642
bnf,eng-mav,people,43,43,481,0,0.10413509417622863,0,0.63716944426985
bnf,eng-mav,performance,14,14,481,0,0.1034853700516351,0,0.6394332321605932
bnf,eng-mav,perhaps,28,28,498,0,0.1074665515753129,0,0.6255618824861588
bnf,eng-mav,powerful,1,1,501,0,0.10748766359150397,0,0.6254883233788495
bnf,eng-mav,problem,14,14,510,0,0.10972461273666093,0,0.6176942794218347
bnf,eng-mav,professor,1,1,524,0,0.11242222698991633,0,0.6082951725559224
bnf,eng-mav,program,4,4,454,0,0.09746672391584371,0,0.6604035759190263
bnf,eng-mav,providing,4,4,508,0,0.10905968226706741,0,0.6200110497067519
bnf,eng-mav,recognition,5,5,313,0,0.06721065063345501,0,0.7658226756961233
bnf,eng-mav,relationship,3,3,443,0,0.09508478214209058,0,0.6687028074540278
bnf,eng-mav,relevance,7,7,462,0,0.09924812030075188,0,0.6541967822782764
bnf,eng-mav,relevant,9,9,401,0,0.08618095852138405,0,0.6997257714027332
bnf,eng-mav,remember,2,2,373,0,0.08004291845493562,0,0.7211121110034304
bnf,eng-mav,representation,2,2,37,0,0.00793991416309013,0,0.972335517713477
bnf,eng-mav,research,24,24,496,0,0.10694264769297111,0,0.627387283790906
bnf,eng-mav,retrieval,110,62,132,48,0.028695652173913042,0.4363636363636364,0.46365412894725655
bnf,eng-mav,scheme,1,1,274,0,0.058785668311521135,0,0.7951772467181731
bnf,eng-mav,searching,6,6,507,0,0.10889175257731959,0,0.6205961552673391
bnf,eng-mav,semantic,11,11,486,0,0.10449365727800473,0,0.635920128172228
bnf,eng-mav,similarity,2,2,207,0,0.044420600858369096,0,0.8452284369375606
bnf,eng-mav,somebody,10,10,489,0,0.10511607910576096,0,0.6337514677465583
bnf,eng-mav,something,24,24,501,0,0.10802069857697283,0,0.6236311072162176
bnf,eng-mav,specific,15,15,465,0,0.1000645577792124,0,0.6513521268201707
bnf,eng-mav,stage,1,1,525,0,0.11263677322462991,0,0.6075476442592733
bnf,eng-mav,standard,7,7,498,0,0.10698174006444683,0,0.6272510770012589
bnf,eng-mav,student,2,2,524,0,0.11244635193133047,0,0.6082111157259987
bnf,eng-mav,system,101,101,396,0,0.08682306511729884,0,0.6974885247292968
bnf,eng-mav,task,63,63,443,0,0.09632528810611002,0,0.6643806001148762
bnf,eng-mav,technology,11,11,198,0,0.042571490002150075,0,0.8516711633294263
bnf,eng-mav,things,24,24,495,0,0.10672703751617077,0,0.6281385191058437
bnf,eng-mav,together,14,14,442,0,0.0950946643717728,0,0.6686683754989236
bnf,eng-mav,topical,1,1,511,0,0.10963312593863977,0,0.6180130404123594
bnf,eng-mav,transcribe,1,1,479,0,0.1027676464278052,0,0.6419339459051274
bnf,eng-mav,translate,2,2,518,0,0.1111587982832618,0,0.6126972479886781
bnf,eng-mav,typically,35,33,342,2,0.07388204795852236,0.05714285714285716,0.6854351399163559
bnf,eng-mav,understand,8,8,470,0,0.10098839707778255,0,0.6481332587838264
bnf,eng-mav,university,6,6,491,0,0.1054553264604811,0,0.6325694521425316
bnf,eng-mav,various,28,28,476,0,0.1027190332326284,0,0.6421033254285373
bnf,eng-mav,well,83,45,266,38,0.05761316872427984,0.45783132530120485,0.3414311789393958
bnf,eng-mav,whatever,3,3,493,0,0.10581669886241683,0,0.6313103477987261
bnf,eng-mav,whether,9,9,516,0,0.11089619600257898,0,0.6136122145730931
bnf,eng-mav,write,1,1,525,0,0.11263677322462991,0,0.6075476442592733
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,access,19,13,10,6,0.0021510002151000217,0.3157894736842105,0.6767159481469769
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,addressing,1,1,41,0,0.008796395623256811,0,0.9693513398373909
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,against,1,1,290,0,0.06221840806693842,0,0.7832167939717891
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,amount,2,1,194,1,0.04162196953443467,0.5,0.35497951045009335
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,analysis,5,5,74,0,0.015890057977238567,0,0.9446353929760802
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,annotation,7,7,97,0,0.02083780880773362,0,0.927396294114703
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,answering,1,1,106,0,0.02274190087963956,0,0.9207620005552056
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,application,11,11,465,0,0.09997849924747367,0,0.6516519744857736
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,audience,1,1,56,0,0.012014589143960523,0,0.9581384153876559
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,automatically,6,0,0,6,0,1,0
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,basically,32,27,85,5,0.018338727076591153,0.15625,0.7798536681320636
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,benefit,2,2,24,0,0.005150214592274678,0,0.9820554709492824
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,between,13,3,58,10,0.01244902339557845,0.7692307692307692,0.18739397756908094
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,beyond,1,1,106,0,0.02274190087963956,0,0.9207620005552056
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,capturing,1,1,202,0,0.043338339412143316,0,0.8489992840769014
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,challenge,10,9,37,1,0.007951859015688803,0.09999999999999998,0.8722938991069854
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,children,1,1,221,0,0.04741471787170135,0,0.8347962464405703
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,collected,1,1,148,0,0.031752842737609956,0,0.8893658120959476
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,collection,35,32,16,3,0.0034557235421166306,0.08571428571428574,0.9022451807542032
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,combine,5,5,40,0,0.008589220528237063,0,0.9700731853924758
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,conclude,1,1,78,0,0.0167346063076593,0,0.9416927928613777
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,confidence,2,2,190,0,0.0407725321888412,0,0.8579391450151522
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,contrast,1,1,121,0,0.025960094400343275,0,0.9095490761054706
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,deep,1,1,254,0,0.05449474361724952,0,0.8101278126511532
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,description,10,9,11,1,0.002364066193853428,0.09999999999999998,0.8917630510858605
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,designed,1,1,188,0,0.040334692126153184,0,0.8594646802299875
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,difference,3,3,236,0,0.0506546469199399,0,0.8235075904269764
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,document,15,15,13,0,0.002797503765870454,0,0.9902528551584133
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,domain,17,14,69,3,0.014845094664371773,0.17647058823529416,0.77180569662766
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,england,2,2,2,0,4.2918454935622315e-4,0,0.9985046225791069
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,evaluation,45,41,8,4,0.0017312270071413113,0.0888888888888889,0.9050791190908887
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,experiment,4,4,22,0,0.0047230571060541005,0,0.9835437856172216
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,explain,1,1,33,0,0.007080025745548166,0,0.9753315662105829
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,expression,1,1,317,0,0.0680111564042051,0,0.763033529962266
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,extent,1,1,133,0,0.02853464921690624,0,0.9005787365456825
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,fifty,1,1,17,0,0.0036472859901308732,0,0.9872920189569669
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,filtering,1,1,140,0,0.030036472859901308,0,0.8953460384691396
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,for_example,54,54,235,0,0.05099826388888889,0,0.8223103500846276
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,general,13,13,13,0,0.002796300279630028,0,0.9902570483805435
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,global,4,2,110,2,0.023605150214592276,0.5,0.4177542418508776
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,google,4,4,110,0,0.0236152855302705,0,0.9177189280861077
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,IBM,3,3,191,0,0.040995921871646274,0,0.8571608041167479
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,important,16,15,6,1,0.0012911555842479018,0.0625,0.9330013177654215
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,individual,5,5,22,0,0.004724071290530384,0,0.9835402519658617
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,information,40,40,129,0,0.02790999567286889,0,0.9027551727828106
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,interesting,26,26,10,0,0.0021570319240724763,0,0.9924844059735095
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,involve,14,9,53,5,0.01139050075220288,0.3571428571428571,0.6031700253617436
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,language,11,11,115,0,0.024725865405289184,0,0.9138494130448688
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,lecture,3,3,34,0,0.00729770336982185,0,0.974573127434395
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,limited,1,1,41,0,0.008796395623256811,0,0.9693513398373909
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,literature,2,2,92,0,0.019742489270386267,0,0.9312126386389158
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,machine,2,2,223,0,0.047854077253218885,0,0.8332654175704155
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,making,4,4,159,0,0.03413482181193645,0,0.881066450597192
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,medical,18,18,10,0,0.002153316106804479,0,0.992497352733245
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,meeting,1,1,18,0,0.003861832224844454,0,0.9865444906603179
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,multilingual,6,6,22,0,0.004725085910652921,0,0.9835367167966104
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,number,10,10,10,0,0.0021496130696474634,0,0.9925102549641422
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,paper,11,11,193,0,0.04149645237583315,0,0.8554168410231275
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,people,43,30,55,13,0.011873920552677029,0.3023255813953488,0.6563029556324027
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,performance,14,14,335,0,0.07207401032702238,0,0.7488776149143425
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,perhaps,28,20,191,8,0.04114605773373546,0.2857142857142857,0.5709234106191758
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,powerful,1,1,346,0,0.07423299721089895,0,0.7413552093594449
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,problem,14,3,9,11,0.0019317450096587251,0.7857142857142857,0.20755507154775998
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,professor,1,1,525,0,0.11263677322462991,0,0.6075476442592733
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,program,4,4,107,0,0.022971232288535853,0,0.9199629573201229
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,providing,4,4,27,0,0.005796479175611851,0,0.9798037368938628
wav2vec2-large-xlsr-53_transformer-L11,eng-mav,recognition,5,4,2,1,4.2936882782310007e-4,0.19999999999999996,0.7985039805106565
