dataset,features,mtwv,p_fa,p_miss,desc_score
gbb-pd,20210127-XLSR53_transformer-L12,0.2087,0.06189,0.576,0.92112476
gbb-pd,20210127-XLSR53_transformer-L13,0.2004,0.05585,0.605,0.92458244
gbb-pd,20210127-XLSR53_transformer-L14,0.1932,0.05358,0.62,0.92317231
gbb-pd,20210127-XLSR53_transformer-L15,0.1963,0.05407,0.615,0.923986
gbb-pd,20210127-XLSR53_transformer-L16,0.2115,0.06951,0.546,0.92121861
gbb-pd,20210127-XLSR53_transformer-L17,0.2352,0.07045,0.519,0.92107657
gbb-pd,20210127-XLSR53_transformer-L18,0.2296,0.07272,0.517,0.9205904
gbb-pd,20210127-XLSR53_transformer-L19,0.2124,0.07713,0.519,0.92076812
gbb-pd,20210127-XLSR53_transformer-L20,0.1992,0.08745,0.496,0.91566466
gbb-pd,20210127-XLSR53_transformer-L21,0.1915,0.06781,0.572,0.92161352
gbb-pd,20210127-XLSR53_transformer-L22,0.0025,9.7e-4,0.994,0.95752441
gbb-pd,20210127-XLSR53_transformer-L23,0.0026,9.7e-4,0.994,0.95756535
gbb-pd,20210127-XLSR53_transformer-L24,0.0026,9.5e-4,0.994,0.95759939
gos-kdl,20210127-XLSR53_encoder,0.3222,0.03528,0.555,0.87052094
gos-kdl,20210127-XLSR53_quantizer,0.2224,0.05908,0.572,0.77281439
gos-kdl,20210127-XLSR53_transformer-L01,0.2432,0.06109,0.544,0.90205221
gos-kdl,20210127-XLSR53_transformer-L02,0.2423,0.03928,0.621,0.91832084
gos-kdl,20210127-XLSR53_transformer-L03,0.248,0.05873,0.547,0.91711785
gos-kdl,20210127-XLSR53_transformer-L04,0.2369,0.06665,0.531,0.91635093
gos-kdl,20210127-XLSR53_transformer-L05,0.2168,0.06386,0.561,0.91080386
gos-kdl,20210127-XLSR53_transformer-L06,0.2024,0.03917,0.661,0.92770441
gos-kdl,20210127-XLSR53_transformer-L07,0.1905,0.0682,0.572,0.91989715
gos-kdl,20210127-XLSR53_transformer-L08,0.1624,0.07287,0.584,0.92395907
gos-kdl,20210127-XLSR53_transformer-L09,0.1378,0.04976,0.689,0.93352354
gos-kdl,20210127-XLSR53_transformer-L10,0.1498,0.05644,0.654,0.93288593
gos-kdl,20210127-XLSR53_transformer-L11,0.1391,0.05903,0.655,0.9302817
gos-kdl,20210127-XLSR53_transformer-L12,0.1437,0.085319999999999993,0.559,0.92445224
gos-kdl,20210127-XLSR53_transformer-L13,0.1407,0.10748,0.485,0.92180946
gos-kdl,20210127-XLSR53_transformer-L14,0.1306,0.06953,0.627,0.93163348
gos-kdl,20210127-XLSR53_transformer-L15,0.1251,0.0487,0.705,0.93870552
gos-kdl,20210127-XLSR53_transformer-L16,0.1316,0.10046,0.518,0.92569038
gos-kdl,20210127-XLSR53_transformer-L17,0.135,0.07553,0.602,0.93259744
gos-kdl,20210127-XLSR53_transformer-L18,0.0976,0.09536,0.57,0.92862544
gos-kdl,20210127-XLSR53_transformer-L19,0.1285,0.07782,0.6,0.93387796
gos-kdl,20210127-XLSR53_transformer-L20,0.0852,0.07718,0.646,0.93186951
gos-kdl,20210127-XLSR53_transformer-L21,0.0799,0.03041,0.814,0.94756616
gos-kdl,20210127-XLSR53_transformer-L22,0.0135,0.14906,0.467,0.82258925
gos-kdl,20210127-XLSR53_transformer-L23,0.013,0.14971,0.465,0.82204307
gos-kdl,20210127-XLSR53_transformer-L24,0.0124,0.1494,0.467,0.82225082
gup-wat,20210127-XLSR53_encoder,0.1553,0.07069,0.598,0.896857
gup-wat,20210127-XLSR53_quantizer,0.0403,0.04164,0.815,0.8714132
gup-wat,20210127-XLSR53_transformer-L01,0.0385,0.02715,0.867,0.96236586
gup-wat,20210127-XLSR53_transformer-L02,0.045,0.06678,0.722,0.94239189
gup-wat,20210127-XLSR53_transformer-L03,0.0404,0.06047,0.749,0.94558287
gup-wat,20210127-XLSR53_transformer-L04,0.0193,0.05291,0.796,0.94765851
gup-wat,20210127-XLSR53_transformer-L05,0.0173,0.03548,0.859,0.9495585
gup-wat,20210127-XLSR53_transformer-L06,0.0264,0.03388,0.856,0.9519494
gup-wat,20210127-XLSR53_transformer-L07,0.0194,0.02031,0.91,0.95926183
gup-wat,20210127-XLSR53_transformer-L08,0.0208,0.02953,0.876,0.95401149
gup-wat,20210127-XLSR53_transformer-L09,0.0209,0.058,0.777,0.94408235
gup-wat,20210127-XLSR53_transformer-L10,0.0157,0.0189,0.918,0.96150698
gup-wat,20210127-XLSR53_transformer-L11,0.0202,0.04063,0.838,0.95052915
gup-wat,20210127-XLSR53_transformer-L12,0.0226,0.05509,0.785,0.94594286
gup-wat,20210127-XLSR53_transformer-L13,0.0177,0.03413,0.863,0.95536306
gup-wat,20210127-XLSR53_transformer-L14,0.0109,0.02261,0.91,0.9597592
gup-wat,20210127-XLSR53_transformer-L15,0.0109,0.02789,0.892,0.95797442
gup-wat,20210127-XLSR53_transformer-L16,0.0139,0.03716,0.857,0.95561628
gup-wat,20210127-XLSR53_transformer-L17,0.0187,0.03202,0.87,0.95684167
gup-wat,20210127-XLSR53_transformer-L18,0.011,0.03305,0.874,0.95652799
gup-wat,20210127-XLSR53_transformer-L19,0.02,0.02921,0.878,0.96089108
gup-wat,20210127-XLSR53_transformer-L20,0.0096,0.02855,0.891,0.96109278
gup-wat,20210127-XLSR53_transformer-L21,0.0066,0.00435,0.978,0.9755097
gup-wat,20210127-XLSR53_transformer-L22,3e-4,0.00245,0.991,0.97995848
gup-wat,20210127-XLSR53_transformer-L23,4e-4,0.00242,0.991,0.98001288
mwf-jm,20210127-XLSR53_encoder,0.1324,0.02744,0.772,0.83741889
mwf-jm,20210127-XLSR53_quantizer,0.1728,0.04414,0.673,0.72941314
mwf-jm,20210127-XLSR53_transformer-L01,0.1685,0.04808,0.664,0.9186147
mwf-jm,20210127-XLSR53_transformer-L02,0.1447,0.06131,0.642,0.92457167
mwf-jm,20210127-XLSR53_transformer-L03,0.1495,0.03288,0.736,0.93905226
mwf-jm,20210127-XLSR53_transformer-L04,0.1132,0.07108,0.639,0.93205581
mwf-jm,20210127-XLSR53_transformer-L05,0.1345,0.07194,0.615,0.92635959
mwf-jm,20210127-XLSR53_transformer-L06,0.1262,0.09155,0.555,0.92716287
mwf-jm,20210127-XLSR53_transformer-L07,0.1164,0.11245,0.492,0.92556305
mwf-jm,20210127-XLSR53_transformer-L08,0.1061,0.05614,0.698,0.94786385
mwf-jm,20210127-XLSR53_transformer-L09,0.0774,0.1277,0.478,0.9315249
mwf-jm,20210127-XLSR53_transformer-L10,0.0904,0.18488,0.265,0.91577926
mwf-jm,20210127-XLSR53_transformer-L11,0.1001,0.10742,0.526,0.93706337
mwf-jm,20210127-XLSR53_transformer-L12,0.1068,0.12099,0.472,0.93506203
mwf-jm,20210127-XLSR53_transformer-L13,0.0855,0.18697,0.263,0.92272461
mwf-jm,20210127-XLSR53_transformer-L14,0.0933,0.18183,0.273,0.92375768
mwf-jm,20210127-XLSR53_transformer-L15,0.1149,0.18453,0.242,0.92128804
mwf-jm,20210127-XLSR53_transformer-L16,0.1394,0.16632,0.281,0.92923457
mwf-jm,20210127-XLSR53_transformer-L17,0.088,0.19349,0.238,0.92246317
mwf-jm,20210127-XLSR53_transformer-L18,0.0801,0.1986,0.228,0.92159779
mwf-jm,20210127-XLSR53_transformer-L19,0.0901,0.19117,0.244,0.92500238
mwf-jm,20210127-XLSR53_transformer-L20,0.0703,0.08797,0.623,0.95537657
mwf-jm,20210127-XLSR53_transformer-L21,0.0745,0.09818,0.583,0.94760494
mwf-jm,20210127-XLSR53_transformer-L22,0,0,1,0.98269449
mwf-jm,20210127-XLSR53_transformer-L23,0,0,1,0.98272908
mwf-jm,20210127-XLSR53_transformer-L24,0,0,1,0.98274264
pjt-sw01,20210127-XLSR53_encoder,0.5332,0.13004,0.014,0.63759439
pjt-sw01,20210127-XLSR53_quantizer,0.5349,0.13012,0.012,0.58655746
pjt-sw01,20210127-XLSR53_transformer-L01,0.5325,0.13218,0.007,0.68465585
pjt-sw01,20210127-XLSR53_transformer-L02,0.5315,0.13269,0.006,0.7669125
pjt-sw01,20210127-XLSR53_transformer-L03,0.5305,0.126,0.03,0.8194373
pjt-sw01,20210127-XLSR53_transformer-L04,0.5293,0.13511,0,0.66345361
pjt-sw01,20210127-XLSR53_transformer-L05,0.5293,0.13509,0,0.65574945
pjt-sw01,20210127-XLSR53_transformer-L06,0.5301,0.13404,0.003,0.76290771
pjt-sw01,20210127-XLSR53_transformer-L07,0.5315,0.13391,0.002,0.79909884
pjt-sw01,20210127-XLSR53_transformer-L08,0.5314,0.13415,0.001,0.80827966
