dataset,features,mtwv,p_fa,p_miss,desc_score
gbb-pd,20210225-Large-0FT_transformer-L06,0.7195,0.035,0.159,0.87589662
gbb-pd,20210225-Large-0FT_transformer-L07,0.7039,0.03085,0.189,0.88778681
gbb-pd,20210225-Large-0FT_transformer-L08,0.6891,0.03504,0.189,0.89137332
gbb-pd,20210225-Large-0FT_transformer-L09,0.7495,0.03164,0.14,0.89229767
gbb-pd,20210225-Large-0FT_transformer-L10,0.8183,0.02119,0.108,0.89077006
gbb-pd,20210225-Large-0FT_transformer-L11,0.8507,0.0204,0.078,0.88619331
gbb-pd,20210225-Large-0FT_transformer-L12,0.8443,0.01829,0.092,0.87943757
gbb-pd,20210225-Large-0FT_transformer-L13,0.8343,0.02007,0.096,0.87305946
gbb-pd,20210225-Large-0FT_transformer-L14,0.799,0.02052,0.13,0.88047114
gbb-pd,20210225-Large-0FT_transformer-L15,0.7652,0.02283,0.155,0.89709805
gbb-pd,20210225-Large-0FT_transformer-L16,0.737,0.03249,0.15,0.90675295
gbb-pd,20210225-Large-0FT_transformer-L17,0.6986,0.02464,0.216,0.91068916
gbb-pd,20210225-Large-0FT_transformer-L18,0.7062,0.03613,0.168,0.89024946
gbb-pd,20210225-Large-0FT_transformer-L19,0.6986,0.03597,0.176,0.88357118
gbb-pd,20210225-Large-0FT_transformer-L20,0.687,0.03404,0.194,0.87749844
gbb-pd,20210225-Large-0FT_transformer-L21,0.6266,0.04717,0.209,0.87994365
gbb-pd,20210225-Large-0FT_transformer-L22,0.4783,0.0588,0.317,0.91538431
gbb-pd,20210225-Large-0FT_transformer-L23,0.3152,0.08666,0.383,0.92671879
gbb-pd,20210225-Large-0FT_transformer-L24,0.4166,0.07115,0.336,0.93432966
gbb-pd,bnf,0.6136,0.05523,0.194,0.93280337
gbb-pd,mfcc,0.719,0.03946,0.144,0.8875944
gos-kdl,20210225-Large-0FT_encoder,0.4495,0.07524,0.288,0.87028212
gos-kdl,20210225-Large-0FT_quantizer,0.2257,0.03847,0.64,0.79663567
gos-kdl,20210225-Large-0FT_transformer-L01,0.3655,0.04746,0.469,0.87150115
gos-kdl,20210225-Large-0FT_transformer-L02,0.3907,0.04444,0.454,0.86716233
gos-kdl,20210225-Large-0FT_transformer-L03,0.4245,0.02824,0.477,0.87575338
gos-kdl,20210225-Large-0FT_transformer-L04,0.4364,0.02726,0.469,0.86790472
gos-kdl,20210225-Large-0FT_transformer-L05,0.4404,0.0228,0.48,0.87690905
gos-kdl,20210225-Large-0FT_transformer-L06,0.4608,0.03789,0.407,0.86460662
gos-kdl,20210225-Large-0FT_transformer-L07,0.4526,0.05004,0.373,0.86266209
gos-kdl,20210225-Large-0FT_transformer-L08,0.4738,0.06217,0.31,0.86273036
gos-kdl,20210225-Large-0FT_transformer-L09,0.5321,0.05897,0.262,0.85939203
gos-kdl,20210225-Large-0FT_transformer-L10,0.6608,0.03434,0.22,0.86098621
gos-kdl,20210225-Large-0FT_transformer-L11,0.733,0.03221,0.155,0.85372624
gos-kdl,20210225-Large-0FT_transformer-L12,0.7349,0.0223,0.187,0.85169623
gos-kdl,20210225-Large-0FT_transformer-L13,0.7109,0.02093,0.216,0.84381454
gos-kdl,20210225-Large-0FT_transformer-L14,0.6803,0.02858,0.22,0.83866488
gos-kdl,20210225-Large-0FT_transformer-L15,0.6173,0.04505,0.226,0.84267702
gos-kdl,20210225-Large-0FT_transformer-L16,0.568,0.05599,0.237,0.86286914
gos-kdl,20210225-Large-0FT_transformer-L17,0.4892,0.07499,0.25,0.8621179
gos-kdl,20210225-Large-0FT_transformer-L18,0.4665,0.04988,0.36,0.86688031
gos-kdl,20210225-Large-0FT_transformer-L19,0.4781,0.04845,0.353,0.85322441
gos-kdl,20210225-Large-0FT_transformer-L20,0.4841,0.03895,0.38,0.85191263
gos-kdl,20210225-Large-0FT_transformer-L21,0.382,0.05598,0.423,0.84741609
gos-kdl,20210225-Large-0FT_transformer-L22,0.2088,0.0877,0.486,0.89537342
gos-kdl,20210225-Large-0FT_transformer-L23,0.1657,0.08522,0.537,0.92686248
gos-kdl,20210225-Large-0FT_transformer-L24,0.2423,0.07094,0.51,0.93899657
gos-kdl,bnf,0.3747,0.04177,0.48,0.93887504
gos-kdl,mfcc,0.3568,0.06776,0.407,0.88037917
gup-wat,20210225-Large-0FT_encoder,0.3478,0.08936,0.341,0.89602621
gup-wat,20210225-Large-0FT_quantizer,0.1136,0.07384,0.629,0.7990369
gup-wat,20210225-Large-0FT_transformer-L01,0.3071,0.07222,0.441,0.89674702
gup-wat,20210225-Large-0FT_transformer-L02,0.3224,0.0762,0.412,0.88940218
gup-wat,20210225-Large-0FT_transformer-L03,0.3555,0.09204,0.324,0.88180149
