dataset,features,mtwv,p_fa,p_miss,desc_score
gbb-lg,20210225-Large-0FT_transformer-L06,0.6427,0.04714,0.193,0.83423626
gbb-lg,20210225-Large-0FT_transformer-L07,0.6471,0.03768,0.222,0.84822153
gbb-lg,20210225-Large-0FT_transformer-L08,0.6837,0.03128,0.207,0.86243924
gbb-lg,20210225-Large-0FT_transformer-L09,0.7014,0.02365,0.216,0.86204936
gbb-lg,20210225-Large-0FT_transformer-L10,0.7062,0.01334,0.247,0.86472552
gbb-lg,20210225-Large-0FT_transformer-L11,0.734,0.01979,0.197,0.8511561
gbb-lg,20210225-Large-0FT_transformer-L12,0.6915,0.01635,0.252,0.84895174
gbb-lg,20210225-Large-0FT_transformer-L13,0.7205,0.02435,0.195,0.81973608
gbb-lg,20210225-Large-0FT_transformer-L14,0.7035,0.02999,0.192,0.81667207
gbb-lg,20210225-Large-0FT_transformer-L15,0.6649,0.04807,0.168,0.8160577
gbb-lg,20210225-Large-0FT_transformer-L16,0.6788,0.02973,0.218,0.85860779
gbb-lg,20210225-Large-0FT_transformer-L17,0.6659,0.03642,0.207,0.84839669
gbb-lg,20210225-Large-0FT_transformer-L18,0.6929,0.03982,0.168,0.82866076
gbb-lg,20210225-Large-0FT_transformer-L19,0.6766,0.04353,0.172,0.81394553
gbb-lg,20210225-Large-0FT_transformer-L20,0.6261,0.02784,0.277,0.81708464
gbb-lg,20210225-Large-0FT_transformer-L21,0.4475,0.07169,0.303,0.79338671
gbb-lg,20210225-Large-0FT_transformer-L22,0.2055,0.08326,0.504,0.87368036
gbb-lg,20210225-Large-0FT_transformer-L23,0.256,0.11845,0.331,0.90994119
gbb-lg,20210225-Large-0FT_transformer-L24,0.2225,0.10162,0.423,0.91274482
gbb-lg,bnf,0.5325,0.05053,0.291,0.9035432
gbb-lg,mfcc,0.5002,0.05618,0.304,0.8532431
gbb-lg,wav2vec2-large-xlsr-53_encoder,0.3841,0.05812,0.413,0.81797051
